Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking or running,Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count,Walk Heart Avg
1/4/22,213.669,5,2103.876,1.408,84.013,70,43,3183.244,110
1/5/22,462.683,12,2314.592,1.43,79.085,66,68,3141.388,115
1/6/22,270.017,7,2170.818,1.955,82.279,65,52,4575,114
1/8/22,371.465,10,2241.646,1.725,78.084,62,74,3767.7,110
1/9/22,446.727,12,2242.032,1.97,75.278,52,103,4303,109
1/10/22,486.661,13,2227.275,2.125,77.708,61,94,4630.609,94.5
1/11/22,363.48,8,2189.607,1.727,73.447,62,48,3798.283,100
1/12/22,499.928,11,2282.148,2.949,85.205,56,101,6429.421,123
1/13/22,557.616,14,2318.278,2.481,78.13,70,112,5386,99.5
1/15/22,484.633,10,2268.589,2.447,79.609,66,141,5295,116
1/16/22,440.974,13,2231.968,1.744,74.507,62,111,3841,103
1/18/22,694.65,14,2316.934,3.798,79.041,59,138,8072,122.5
1/19/22,460.494,13,2260.336,1.804,74.43,60,103,3933,115
1/23/22,121.771,5,1294.866,1.634,77.406,57,42,3784,100.5
1/24/22,504.227,13,2244.397,2.233,76.756,62,90,4920,113
1/25/22,405.94,10,2222.993,1.705,76.89,66,69,3768,107
1/26/22,439.348,11,2296.981,1.929,82.237,70,96,4195.786,112
1/28/22,382.857,10,2206.311,1.695,87.624,73,64,3662,128
1/29/22,206.228,5,2100.976,1.25,94.699,65,76,2709,123
2/1/22,121.493,4,2039.047,0.671,75.605,61,22,1438,113
2/2/22,544.705,13,2319.9,2.028,77.721,60.5,110,4422.088,114
2/4/22,572.329,11,2331.518,2.43,75.544,57,111,5285.82,104.5
2/5/22,590.549,15,2403.776,2.058,77.547,58,114,4398.18,114
2/6/22,424.408,12,2222.209,1.643,76.905,62,92,3523,106.5
2/7/22,303.646,7,2035.967,1.357,76.588,61,41,2973.889,123
2/8/22,295.261,9,1955.078,1.28,83.25,68,56,2792.539,112
2/9/22,465.097,13,2251.788,2.106,73.802,54,100,4521,102.5
2/10/22,422.05,10,2212.014,1.607,77.474,66,72,3530,119
2/11/22,425.316,9,2208.804,1.992,86.219,80,99,4312.988,111
2/12/22,499.061,11,2307.895,2.199,78.993,69,133,4751.771,106
2/13/22,477.972,13,2267.595,1.923,81.153,66,110,4190.93,109
2/14/22,500.085,12,2278.725,1.682,82.187,70,92,3624,108.5
2/15/22,551.038,12,2220.118,2.571,82.68,71,92,5468,129
2/16/22,369.302,11,2191.25,1.866,77.557,60,61,4212.915,118
2/17/22,568.845,13,2264.356,2.927,78.705,68,103,6384,108
2/22/22,396.513,10,2149.33,1.595,80.287,65,72,3461,115.5
2/23/22,452.695,11,2055.015,2.584,80.457,61,132,5641.044,115.5
2/24/22,473.132,10,2190.153,2.714,84.842,75,110,5925,119
2/26/22,413.315,12,2205.456,1.909,88.755,62,107,4076,110.5
2/28/22,398.119,10,2007.966,1.635,79.1,64,39,3784.881,115
3/1/22,399.791,9,2123.331,2.38,85.552,65,66,5166.825,123.5
3/2/22,384.063,11,2245.055,1.124,80.443,62,51,2416.739,116
3/3/22,470.043,12,2212.396,2.178,79.592,63,72,4730,118
3/5/22,425.654,10,2112.933,4.046,86.976,76,100,8964.525,122
3/6/22,475.18,13,2265.489,2.142,74.26,52,88,4642,105.5
3/7/22,536.91,11,2411.755,2.157,80.764,66,84,4697.408,114
3/10/22,475.734,10,1543.434,2.167,76.413,54,84,4752.047,119
3/14/22,405.338,11,2193.313,1.669,81.93,60,57,3629.518,115
3/15/22,422.507,10,2204.448,2.121,79.596,65,75,4653,131.5
3/16/22,617.524,15,2332.241,2.819,81.958,69,160,6064.121,128.5
3/18/22,470.158,12,2101.242,2.993,75.714,60,117,6427,104
3/21/22,420.52,14,2179.696,1.599,76.63,60,55,3526,102
3/22/22,481.856,12,2284.04,2.298,88.94,83,92,4853.596,128.5
3/23/22,323.842,6,2124.072,2.953,80.642,69,99,6672,111
3/27/22,146.618,5,2066.248,0.802,75.399,62,30,1797.644,99
3/28/22,403.225,11,2217.711,1.522,73.175,58,50,3339,95.5
3/29/22,420.788,9,2187.498,1.889,82.513,64,80,4117.327,110
3/30/22,684.476,15,2448.128,3.103,81.217,54,171,6709,119
3/31/22,333.677,8,2142.659,1.894,79.145,70,57,4121,113.5
4/1/22,176.592,6,2101.988,0.688,78.84,72,27,1507,107
4/2/22,546.527,10,2220.443,3.294,81.021,61,102,7087,126
4/4/22,496.764,10,2165.18,2.82,81.346,60,81,5976,119
4/5/22,409.414,11,2163.524,1.599,73.785,61,55,3475,122
4/6/22,211.952,7,2132.586,1.23,76.462,68,24,2809.826,100
4/7/22,520.166,12,2261.246,2.613,77.49,59,94,5557.523,115
4/10/22,476.734,14,2236.9,1.943,74.24,62,96,4143.901,94
4/11/22,437.296,12,2221.463,1.892,76.673,61,73,4050,102
4/12/22,430.965,11,2178.641,1.749,80.044,69,66,3812.251,107
4/13/22,406.31,12,2221.06,1.674,81.285,69,73,3699,110
4/17/22,140.466,3,2051.543,1.912,68.957,56,24,4441.63,98
4/18/22,446.176,9,2232.777,1.701,75.018,62,59,3711,110
4/19/22,359.779,9,2214.638,1.264,78.573,63,55,2820,119
4/26/22,326.07,8,2113.82,2.372,86.423,68,96,5250.932,134
4/29/22,341.012,12,2204.813,1.5,70.871,60,72,3223.041,91
7/8/22,230.171,6,892.645,3.085,72.65,54,61,7081,93
7/9/22,301.204,8,2165.955,3.042,85.787,57,70,6873.113,115
7/10/22,210.061,7,2101.921,1.131,70.532,57,47,2486.021,94
7/12/22,585.89,15,2388.978,2.538,78.153,61,118,5472,112
7/13/22,535.447,15,2331.027,2.389,75.804,57,119,5161,105
7/14/22,315.154,9,2180.022,2.199,85.137,72,91,4761,113
7/15/22,382.999,10,2222.509,1.945,77.066,60,83,4199.66,117.5
7/16/22,740.924,13,2380.782,4.845,88.506,74,267,10552,111
7/17/22,587.301,14,2354.105,2.947,76.22,61,179,6362,102.5
8/4/22,143.265,3,1802.174,1.941,75.559,60,18,4627,107
8/11/22,452.288,12,1334.548,2.378,72.73,52,116,5115,104
8/12/22,375.013,8,2180.336,2.998,97.149,83,102,6547,121
8/13/22,403.623,11,2262.597,2.021,79.95,60,93,4398.552,103.5
8/14/22,490.287,15,2329.091,1.452,71.018,59,83,3103,111
8/15/22,333.177,11,2195.436,1.305,78.512,59,89,2865,121
8/16/22,359.355,10,2212.708,1.358,77.403,60,89,2931.079,100.5
8/19/22,453.852,11,2278.975,2.967,84.722,68,143,6608,110
8/21/22,550.389,13,2289.511,2.914,71.435,59,115,6337.616,103
8/22/22,774.766,13,2310.383,4.841,75.683,56,220,10209,112
8/23/22,518.777,14,2238.439,2.386,80.183,64,125,5121.688,106
8/24/22,787.629,18,2345.721,5.253,80.714,64,201,11244,108.5
8/27/22,297.636,7,2191.752,1.23,82.695,74,95,2823.296,114
8/28/22,429.476,13,2255.41,1.694,75.376,65,115,3626,94
8/31/22,408.296,9,2081.054,2.288,79.241,61,112,5075.625,109
9/3/22,508.047,13,2189.051,2.481,76.658,59,122,5288,108
9/4/22,488.861,14,2356.214,1.476,77.108,67,85,3237,110.5
9/9/22,355.812,11,2237.976,1.611,75.874,52,77,3500.131,107.5
9/10/22,525.045,13,2318.449,2.498,80.275,70,175,5469,110
9/11/22,251.823,8,2155.391,1.235,78.389,62,47,2817,106
9/12/22,585.159,13,2320.474,2.757,79.869,67,121,5837,123
9/13/22,530.812,12,2205.444,2.763,81.175,56,106,5830.209,120.5
9/18/22,408.892,13,2245.998,1.312,72.895,57,72,2799.492,102
9/19/22,460.862,11,1985.561,2.385,80.946,72,137,5146.771,112.5
